src,retailCut,species,primal
./img/b_rumpsteak7.jpg,Rump Steak,Beef,Rump
./img/b_rumpsteak8.jpg,Rump Steak,Beef,Rump
./img/b_rumpsteak.jpg,Rump Steak,Beef,Rump
./img/b_rump2.jpg,Rump Steak,Beef,Rump
./img/b_rumpsteak3.jpg,Rump Steak,Beef,Rump
./img/b_rumpsteak5.jpg,Rump Steak,Beef,Rump
./img/b_rumpsteak6.jpg,Rump Steak,Beef,Rump
./img/b_shinbeefbonein.jpg,Shin Beef bone in,Beef,Shin
./img/b_shinbeefboneless2.jpg,Shin Beef boneless,Beef,Shin
./img/b_shinbeefboneless.jpg ,Shin Beef boneless,Beef,Shin
./img/b_silversidesteak.jpg,Silver Side Steak,Beef,Silverside
./img/b_sirloinsteakboneless2.jpg,Sirloin Steak boneless,Beef,Striploin
./img/b_sirloinsteakboneless3.jpg,Sirloin Steak boneless,Beef,Striploin
./img/b_sirloinsteakboneless4.jpg,Sirloin Steak boneless,Beef,Striploin
./img/b_sirloinsteakboneless5.jpg,Sirloin Steak boneless,Beef,Striploin
./img/b_sirloinsteakboneless6.jpg,Sirloin Steak boneless,Beef,Striploin
./img/b_striploinsteakbonein.jpg,Sirloin Steak bone in,Beef,Shortloin
./img/b_tbonesteak2.jpg,T bone Steak,Beef,Shortloin
./img/b_tbonesteak3.jpg,T bone Steak,Beef,Shortloin
./img/b_tbonesteak4.jpg,T bone Steak,Beef,Shortloin
./img/b_tbonesteak.jpg,T bone Steak,Beef,Shortloin
./img/b_topsidesteak2.jpg,Topside Steak,Beef,Topside
./img/b_topsidesteak.jpg,Topside Steak,Beef,Topside
./img/b_bladesteakbonein.jpg,Blade Steak bone in,Beef,Blade
./img/b_bladesteakboneless.jpg,Blade Steak boneless,Beef,Blade
./img/b_chucksteak2.jpg,Chuck Steak,Beef,Chuck
./img/b_chucksteak3.jpg,Chuck Steak,Beef,Chuck
./img/b_chucksteak.jpg,Chuck Steak,Beef,Chuck
./img/b_filletsteak2.jpg,Fillet Steak,Beef,Tenderloin
./img/b_filletsteak3.jpg,Fillet Steak,Beef,Tenderloin
./img/b_oysterbladesteak2.jpg,Oyster BladeSteak,Beef,OysterBlade
./img/b_oysterbladesteak.jpg,Oyster BladeSteak,Beef,OysterBlade
./img/b_ribeyesteak2.jpg,Rib Eye Steak,Beef,CubeRoll
./img/b_ribeyesteak3.jpg,Rib Eye Steak,Beef,CubeRoll
./img/b_ribeyesteak.jpg,Rib Eye Steak,Beef,CubeRoll
./img/b_ribsteakbonein.jpg,Rib Steak bone in,Beef,Ribset
./img/b_roundsteak2.jpg,Round Steak,Beef,Knuckle
/img/b_roundsteak.jpg,Round Steak,Beef,Knuckle
