src,retailCut,species,primal
./retailImg/2018/2018_beef_bladesteakbornless_blade.jpg,Blade steak boneless,Beef,Blade
./retailImg/2018/2018_beef_chucksteak_chuck.jpg, Chuck steak, Beef, Chuck
./retailImg/2018/2018_beef_oysterbladesteak_oysterblade.jpg, Oyster Blade Steak, Beef, Oyster Blade
./retailImg/2018/2018_beef_ribeyesteak_cuberoll.jpg, Ribeye Steak, Beef, Cube Roll
./retailImg/2018/2018_beef_ribsteakbornin_ribset.jpg, Rib Steak Bone In, Beef, Reb Set
./retailImg/2018/2018_beef_rmpsteak_rump.jpg, Rump Steak, Beef, Rump
./retailImg/2018/2018_beef_roundsteak_knuckle.jpg, Roud Steak, Beef, Knuckle
./retailImg/2018/2018_beef_shank_leg.jpg,Shank, Lamb, Leg
./retailImg/2018/2018_beef_shinbeefbornless_shinshank.jpg, Shin Beef Bone In, Beef, Shin
./retailImg/2018/2018_beef_silversidesteak_silverside.jpg, Beef, Silverside
./retailImg/2018/2018_beef_sirloinsteakbornin_shortloin.jpg, Sirloin Steak Bone In, Beef, Shortloin
./retailImg/2018/2018_beef_sirloinsteakbornless_striploin.jpg, Sirloin Steak Bone less, Beef, Strriploin
./retailImg/2018/2018_beef_topsidesteak_topside.jpg, Topside steak, Beef, Topside
./retailImg/2018/2018_lamb_eyeofloin_loin.jpg, Eye of loin, Lamb, Loin
./retailImg/2018/2018_lamb_frenchedrack_ribloin.jpg, Frenched Rack, Lamb, RibLoin
./retailImg/2018/2018_lamb_ribloincutlet_ribloin.jpg, Riblo Loin Cutlet, Lamb, Rib loin
./retailImg/2018/2018_lamb_ribs_forequarter.jpg, Ribs, Lamb, Forequarter
./retailImg/2018/2018_lamb_roundroast_leg.jpg, Round roast, Lamb, Leg
./retailImg/2018/2018_lamb_roundsteak_leg.jpg, Round Steak, Lamb, Leg
./retailImg/2018/2018_pork_butterflysteak_loin.jpg, Butterfly steak, pork, Loin
./retailImg/2018/2018_pork_fillet_tenderloin.jpg, Filletn , Pork, Tenderloin
./retailImg/2018/2018_pork_loinchop_loin.jpg, Loin Chop, Pork, Loin
./retailImg/2018/2018_pork_loincutlet_loin.jpg, Loin Cutlet, Pork, Loin
./retailImg/2018/2018_pork_rolledloinroast_loin.jpg, Rolled Loin Roarst, Pork, Loin
./retailImg/2018/2018_pork_sparerib_bely.jpg, Spare Ribs, Pork, Belly
