src,region,salableItem,primal
./salableImg/2024/b_blade.JPG,forequarter,blade,blade
./salableImg/2024/b_chuckroll.JPG,forequarter,chuckroll,chuck
./salableImg/2024/b_chucktender.JPG,forequarter,chuck tender,blade
./salableImg/2024/b_cuberoll.JPG,forequarter,cuberoll,cube roll
./salableImg/2024/b_eyeround.JPG,butt,eye round, outside
./salableImg/2024/b_flanksteak.JPG,thin flank,flank steak, flank
./salableImg/2024/b_heart.JPG,offal, heart, thoracic cavity
./salableImg/2024/b_intercostals.JPG,rib set, intercostals, intercostals
./salableImg/2024/b_knucklecentere.JPG,butt, knuckle centere, knuckle
./salableImg/2024/b_knuckle.JPG,butt,knuckle,thick flank
./salableImg/2024/b_liver.JPG,offal,liver,liver
./salableImg/2024/b_navelendbrisket.JPG,forequarter,navel end brisket, brisket
./salableImg/2024/b_outsideflat.JPG,butt,outside flat, outside
./salableImg/2024/b_outside.JPG, butt, outside, silverside
./salableImg/2024/b_oysterblade.JPG,forequarter,oyster blade, blade
./salableImg/2024/b_rumpcap.JPG, butt, rump cap, rump
./salableImg/2024/b_rump.JPG,butt,d-rump,rump
./salableImg/2024/b_shortloin.JPG,loin, shortloin, shortloin
./salableImg/2024/b_shortribs.JPG,rib set, short ribs,short ribs
./salableImg/2024/b_tail.JPG, offal, tail,tail
./salableImg/2024/b_tendon.JPG,offal, tendons,tendons
./salableImg/2024/b_tongue.JPG,offal, tongue, head
./salableImg/2024/b_topsidecapoff.JPG, butt, topside cap off, topside
./salableImg/2024/b_topside.JPG, butt, topside, topside
